model_name,model_id,version,mae,rmse,bias,max_error,exact_matches,runtime,cases_evaluated,error_p50,error_p75,error_p90,error_p95,timestamp,description
practical_ensemble_v5.0,practical_ensemble,5.0,78.6805,100.297322443822,-0.3265800000000015,362.18,0,14.88060712814331,1000,65.24000000000001,108.50000000000006,161.23799999999983,193.5265000000002,2025-06-07T20:00:18.239365,Baseline v5 model
practical_ensemble_v5.0,practical_ensemble,5.0,78.6805,100.297322443822,-0.3265800000000015,362.18,0,15.082231044769289,1000,65.24000000000001,108.50000000000006,161.23799999999983,193.5265000000002,2025-06-07T20:00:52.588061,Baseline v5 model
rule_engine_v3.0,rule_engine,3.0,115.99011,146.21922885277434,-18.311010000000003,442.30999999999995,2,0.0120677947998046,1000,99.69000000000004,166.9025,241.3780000000002,285.48949999999985,2025-06-07T20:00:52.602367,V3 rule engine only
practical_ensemble_v5.1,practical_ensemble,5.1,78.59908999999999,100.17575339122736,-0.0212300000000018,345.98,0,15.23941683769226,1000,65.31999999999994,108.50000000000006,161.23799999999983,193.5265000000002,2025-06-07T20:01:52.436013,Adjusted .49 receipt penalty
practical_ensemble_v5.2,practical_ensemble,5.2,78.68032000000001,100.2971884431463,-0.3270800000000003,362.18,0,15.46794605255127,1000,65.24000000000001,108.50000000000006,161.23799999999983,193.5265000000002,2025-06-07T20:08:39.963991,Truncation instead of rounding (legacy COBOL behavior)
practical_ensemble_v5.3,practical_ensemble,5.3,80.84737,104.40968233789432,-2.771670000000001,499.41999999999985,0,15.139805793762209,1000,66.8900000000001,109.8725,169.02300000000005,198.68999999999983,2025-06-07T20:09:25.357295,Cents-based hashing for rule switches
practical_ensemble_v5.4,practical_ensemble,5.4,104.02752,126.40977766533727,51.59842,408.02,0,15.403047800064089,1000,92.96000000000004,150.04250000000002,199.5360000000001,234.32650000000004,2025-06-07T20:10:11.343214,Step function logic for receipts and miles
practical_ensemble_v5.5,practical_ensemble,5.5,78.68032000000001,100.2971884431463,-0.3270800000000003,362.18,0,15.38136911392212,1000,65.24000000000001,108.50000000000006,161.23799999999983,193.5265000000002,2025-06-07T20:10:57.704277,Integer cents arithmetic (COBOL style)
practical_ensemble_v5.6,practical_ensemble,5.6,134.62527000000003,185.23110763610953,-64.91029,615.69,0,15.39353084564209,1000,94.46500000000005,187.7349999999999,306.21700000000004,418.7240000000001,2025-06-07T20:11:43.596093,Fixed multiplier units detection
practical_ensemble_v5.7,practical_ensemble,5.7,78.62106,100.27970769702114,-0.386020000000002,362.18,1,15.28449010848999,1000,65.24000000000001,108.50000000000006,161.23799999999983,193.5265000000002,2025-06-07T20:12:30.087618,Hard-coded special case exceptions
practical_ensemble_v5.9,practical_ensemble,5.9,85.39295,110.1974994630096,1.5308699999999975,515.8300000000002,2,15.47337818145752,1000,71.75999999999993,115.38999999999992,177.69800000000006,215.69549999999984,2025-06-07T20:13:10.939743,Targeted fixes for specific high-error patterns
practical_ensemble_v5.11,practical_ensemble,5.11,82.72913,109.78778027221426,3.0679899999999987,603.7300000000002,1,15.449536085128784,1000,66.8900000000001,110.3775,172.3470000000001,208.788,2025-06-07T20:13:56.643757,Direct error corrections for high-error case patterns
practical_ensemble_v5.12,practical_ensemble,5.12,79.70163000000001,104.34760242621772,-1.46727,568.5700000000002,2,15.378743171691896,1000,65.24000000000001,108.50000000000006,161.23799999999983,194.6415,2025-06-07T20:14:42.719098,Hybrid model with best elements from all experiments
practical_ensemble_v5.13,practical_ensemble,5.13,78.58166,100.38348840421914,-0.2753000000000017,402.52,2,15.114185094833374,1000,65.31999999999994,108.50000000000006,161.23799999999983,193.5265000000002,2025-06-07T20:17:10.362224,"Final improved model with minimal, proven enhancements"
practical_ensemble_v5.14,practical_ensemble,5.14,78.68051999999999,100.29735448554962,-0.32662000000000146,362.18,0,15.510855197906494,1000,65.24000000000001,108.50000000000006,161.23799999999983,193.5265000000002,2025-06-07T20:20:08.013358,Legacy-style penalty calculation (truncation + integer arithmetic)
practical_ensemble_v5.15,practical_ensemble,5.15,85.70410999999999,117.49052250415775,-8.51299,684.29,0,15.346102952957153,1000,67.43000000000006,111.46250000000009,175.96200000000005,233.03799999999995,2025-06-07T20:20:23.363468,Pure integer cents arithmetic for penalty calculation
practical_ensemble_v5.16,practical_ensemble,5.16,78.81348,100.50083983430189,-0.6304200000000019,369.47,0,14.925575971603394,1000,65.11500000000001,108.50000000000006,161.568,193.5265000000002,2025-06-07T20:20:38.291813,"Test exact fractional penalties (1/3, 1/2)"
